SITE_ID,VISIT_NO,INDEX_SITE_DEPTH
NLA12_KY-101,2,25.4
NLA12_KY-102,1,5.5
NLA12_KY-103,1,7.8
NLA12_KY-104,1,1.1
NLA12_KY-107,1,8.7
NLA12_KY-107,2,3.6
NLA12_KY-114,1,16
NLA12_KY-116,1,5.6
NLA12_KY-117,1,5.1
NLA12_KY-120,1,1.6
NLA12_KY-122,1,8.2
NLA12_LA-101,1,4
NLA12_LA-101,2,3.8
NLA12_LA-102,1,4.2
NLA12_LA-103,1,2.4
NLA12_LA-104,1,3.5
NLA12_LA-105,1,2
NLA12_LA-106,1,2.5
NLA12_LA-109,1,1.6
NLA12_LA-134,1,2.6
NLA12_LA-134,2,3.3
NLA12_LA-141,1,1
NLA12_LA-152,1,3.4
NLA12_LA-154,1,1.1
NLA12_LA-155,1,3
NLA12_LA-161,1,5.9
NLA12_LA-172,1,1
NLA12_MA-101,1,4.6
NLA12_MA-101,2,4.3
NLA12_MA-102,1,2
NLA12_MA-103,1,3
NLA12_MA-104,1,7.8
NLA12_MA-105,1,6.5
NLA12_MA-105,2,7
NLA12_MA-106,1,4.2
NLA12_MA-108,1,1.5
NLA12_MA-109,1,10.4
NLA12_MA-110,1,13.8
NLA12_MA-111,1,3.5
NLA12_MD-101,1,11.6
NLA12_MD-101,2,10.9
NLA12_MD-102,1,1.2
NLA12_MD-103,1,3.1
NLA12_MD-104,1,1.6
NLA12_MD-105,1,1.8
NLA12_MD-105,2,1.6
NLA12_MD-108,1,2.5
NLA12_MD-115,1,1.2
NLA12_MD-118,1,0.9
NLA12_ME-101,1,3.3
NLA12_ME-101,2,3
NLA12_ME-102,1,25
NLA12_ME-103,1,27.3
NLA12_ME-104,1,2.3
NLA12_ME-105,1,2.2
NLA12_ME-106,1,32
NLA12_ME-107,1,13.5
NLA12_ME-108,1,31
NLA12_ME-109,1,16.5
NLA12_ME-110,1,18
NLA12_ME-113,1,1.8
NLA12_ME-114,1,23.2
NLA12_ME-115,1,4.8
NLA12_ME-116,1,3
NLA12_ME-118,1,8.7
NLA12_ME-120,1,5.7
NLA12_ME-121,1,12.1
NLA12_ME-122,1,5
NLA12_ME-126,1,4.8
NLA12_ME-126,2,4.7
NLA12_ME-129,1,2.9
NLA12_ME-130,1,5.1
NLA12_ME-134,1,3
NLA12_ME-135,1,4.7
NLA12_ME-137,1,5.6
NLA12_MI-101,1,6.6
NLA12_MI-101,2,5.8
NLA12_MI-102,1,12.9
NLA12_MI-103,1,15
NLA12_MI-104,1,8.7
NLA12_MI-105,1,18.2
NLA12_MI-106,1,6
NLA12_MI-107,1,16
NLA12_MI-108,1,9
NLA12_MI-109,1,9.5
NLA12_MI-110,1,10.1
NLA12_MI-111,1,8.5
NLA12_MI-112,1,13.1
NLA12_MI-113,1,15.5
NLA12_MI-114,1,6.5
NLA12_MI-115,1,2.6
NLA12_MI-116,1,3.2
NLA12_MI-117,1,11.2
NLA12_MI-118,1,17.5
NLA12_MI-120,1,4.9
NLA12_MI-122,1,26.3
NLA12_MI-123,1,14.6
NLA12_MI-124,1,2.9
NLA12_MI-125,1,2.7
NLA12_MI-126,1,8.5
NLA12_MI-128,1,15.2
NLA12_MI-129,1,21
NLA12_MI-130,1,3.5
NLA12_MI-132,1,4.5
NLA12_MI-133,1,7.7
