SITE_ID,VISIT_NO,MICL_RESULT_ppb
NLA12_OK-299,1,0.13644
NLA12_CA-167,1,0
NLA12_RI-108,1,0.11721
NLA12_TX-201,1,0
NLA12_NY-0109,1,0.0348
NLA12_SD-105,1,2.18422
NLA12_IN-146,1,0.21208
NLA12_PA-114,1,0
NLA12_NV-177,1,0.1093
NLA12_NV-137,1,0.05478
NLA12_NV-119,2,0.26727
NLA12_NV-101,2,0
NLA12_IL-106,1,0.30683
NLA12_NY-0111,1,0
NLA12_OK-296,1,0.15165
NLA12_NY-R08,1,0.07099
NLA12_IN-116,1,0.07441
NLA12_CA-R05,1,0.11809
NLA12_AZ-140,1,0
NLA12_AL-R03,1,0.03527
NLA12_AL-103,1,0.03593
NLA12_OH-127,1,0
NLA12_NH-109,1,0.03423
NLA12_ME-R11,1,0
NLA12_MD-103,1,0.09843
NLA12_TX-182,1,0.1571
NLA12_RI-111,2,0.18382
NLA12_NV-144,1,0.10852
NLA12_GA-102,1,0.54894
NLA12_ME-114,1,0.05393
NLA12_MT-106,1,0
NLA12_CO-119,1,0.02701
NLA12_CO-106,1,0
NLA12_CA-R01,1,0.06875
NLA12_NY-R04,1,0.07442
NLA12_NY-R11,1,0.13114
NLA12_CA-111,1,0.11153
NLA12_NE-101,1,1.53634
NLA12_ND-114,1,0.11081
NLA12_SD-133,1,0.14947
NLA12_PA-R10,1,0
NLA12_PA-R11,1,0.08625
NLA12_OK-306,1,0.1193
NLA12_CA-200,1,0
NLA12_UT-203,1,0
NLA12_AL-104,1,0.07842
NLA12_NE-106,1,1.33643
NLA12_IN-108,1,0.13807
NLA12_IA-120,2,0.1816
NLA12_MS-103,1,0.10005
NLA12_AL-101,2,0.10268
NLA12_AL-112,1,0.09382
NLA12_AL-R05,1,0
NLA12_NY-R07,1,0
NLA12_VA-R14,1,0.08699
NLA12_CA-R03,1,0
NLA12_NH-101,2,0
NLA12_MN-126,1,0
NLA12_WY-124,1,0
NLA12_ND-109,1,0.34641
NLA12_IL-120,1,0.09204
NLA12_ME-R08,1,0.06894
NLA12_ME-R02,1,0
NLA12_AR-101,1,0.09665
NLA12_AL-105,2,0.30275
NLA12_CO-129,1,0.13027
NLA12_CA-R02,1,0
NLA12_OK-119,1,0.07213
NLA12_MN-141,1,0
NLA12_MS-126,1,0.15754
NLA12_NE-110,1,0.94358
NLA12_WY-102,1,0.11028
NLA12_AR-105,1,0.09694
NLA12_VA-104,1,0.41527
NLA12_MN-110,1,0.17
NLA12_ID-210,1,0
NLA12_ID-145,1,0
NLA12_SD-189,1,1.34687
NLA12_MO-101,1,0.08266
NLA12_ND-149,1,1.58937
NLA12_ND-164,1,0.87825
NLA12_MN-R12,1,0.42934
NLA12_ME-134,1,0.11294
NLA12_NY-R06,1,0.08147
NLA12_NY-R03,1,0.06832
NLA12_CA-166,1,0
NLA12_CA-112,1,0
NLA12_MN-157,1,0.22
NLA12_ME-R15,1,0
NLA12_ME-R06,1,0
NLA12_ME-R10,1,0
NLA12_MN-R01,1,0.10524
NLA12_MS-105,1,0
NLA12_NE-129,1,1.18944
NLA12_NH-112,2,0.1215
NLA12_IN-160,1,0.35062
NLA12_IN-172,1,0.02994
NLA12_IN-128,1,0.13585
NLA12_IL-109,1,3.14215
NLA12_ND-193,1,50.5432
NLA12_CT-107,1,0.05138
NLA12_SD-165,1,0.06898
NLA12_GA-104,1,0.18064
NLA12_VA-126,1,0.04252
NLA12_AL-114,1,0.08332
NLA12_SD-132,1,0.17493
NLA12_GA-R01,1,0.09046
NLA12_IA-102,1,5.47225
NLA12_ME-109,1,0.14242
NLA12_MN-R13,1,0.14425
NLA12_NV-R01,1,0.08498
NLA12_RI-102,2,0
NLA12_MT-160,1,0
NLA12_MT-156,1,0
NLA12_ME-R03,1,0.08564
NLA12_AZ-107,1,0.0967
NLA12_CO-125,1,0
NLA12_ID-142,1,0.08687
NLA12_ID-158,1,0
NLA12_ID-215,1,0
NLA12_ND-129,1,5.28905
NLA12_TX-114,1,0.11999
NLA12_NY-0108,1,0
NLA12_TX-205,1,0.10315
NLA12_WY-120,1,0.04491
NLA12_WY-117,1,0
NLA12_WY-103,1,0.07533
NLA12_MN-R14,1,0.09811
NLA12_MS-101,2,0.074
NLA12_MS-112,1,0.09886
NLA12_MS-125,1,0.08201
NLA12_SD-212,1,0.085319999999999993
NLA12_ND-103,1,0.26837
NLA12_VT-103,1,0
NLA12_ND-172,1,0.67467
NLA12_MD-118,1,0
NLA12_OH-R02,1,0.05835
NLA12_CA-145,1,0.0776
NLA12_FL-103,1,0.25187
