SITE_ID,VISIT_NO,CHLL_RESULT_ugL,CHLX_RESULT_ugL
NLA12_TX-160,1,27.52,60.48
NLA12_MO-104,1,2.48,2.136
NLA12_MO-117,1,1.56,1.192
NLA12_CO-124,1,4.28,0.525
NLA12_LA-106,1,41.6,44
NLA12_LA-109,1,41.4,51.6
NLA12_TX-195,1,13.33,42.66666667
NLA12_IA-106,1,236,87.7
NLA12_ND-115,2,216,55.8
NLA12_NV-141,1,5.6,5.141333333
NLA12_WI-140,1,10.1,13.3
NLA12_MD-102,1,37.6,42.56
NLA12_DE-105,1,43.52,3.056
NLA12_KS-126,1,9,6.336
NLA12_IA-R03,1,4.58,2.176
NLA12_IA-103,1,4.39,4.12
NLA12_VA-R01,1,2.02,1.68
NLA12_NV-193,1,1.14,2.064
NLA12_TX-187,1,34.56,40.09411765
NLA12_CO-102,1,1.36,0.92
NLA12_KS-106,1,30.8,29.33333333
NLA12_LA-141,1,372,426
NLA12_MN-105,1,6.5,5.536
NLA12_MT-126,1,4.8,1.572
NLA12_NJ-107,1,15.73,15.728
NLA12_SD-106,1,5.22,5.904
NLA12_TX-157,1,5.52,24.48
NLA12_WV-113,1,6.29,8.48
NLA12_SD-110,1,14.96,16.52
NLA12_IL-110,1,5.45,4.533333333
NLA12_NH-105,1,3.82,3.8
NLA12_CT-115,1,3.72,3.432
NLA12_IA-R01,1,22.72,21.92
NLA12_MN-109,1,3.79,4.149333333
NLA12_VA-R17,1,3.15,3.664
NLA12_MT-154,1,50.29,35.77142857
NLA12_ID-194,1,22.88,31.36
NLA12_UT-173,1,2.67,2.392
NLA12_UT-165,1,1.36,1.46
NLA12_WV-111,1,2.51,2.229090909
NLA12_NV-109,1,NA,0.329142857
NLA12_KS-107,1,4.56,7.586206897
NLA12_RI-104,1,4.82,6.528
NLA12_PA-118,1,8.01,5.19
NLA12_PA-109,1,5.79,11.19
NLA12_NY-0102,1,2.79,1.171428571
NLA12_WV-R01,1,2.29,2.352
NLA12_DE-102,1,60.8,78
NLA12_MN-150,1,5.44,6.08
NLA12_IA-R02,1,141.6,135.2
NLA12_ND-102,1,17.9,59.2
NLA12_OR-111,1,465.6,14.9
NLA12_IA-113,1,18.3,15.9
NLA12_TX-107,1,7.62,3.744
NLA12_KS-121,1,17.8,21.71428571
NLA12_ND-119,1,12.36,11.64
NLA12_ND-167,1,16.11,42.576
NLA12_CT-102,1,1.42,1.52
NLA12_LA-134,2,13.6,14.72
NLA12_NH-103,1,2.05,1.74
NLA12_TX-105,1,32.8,37.28
NLA12_ND-187,1,3.54,7.04
NLA12_LA-101,2,94.67,93
NLA12_UT-186,1,13.44,11.84
NLA12_UT-141,1,53,47.8
NLA12_MN-138,1,5.7,4.64
NLA12_SD-102,1,42.8,10.8
NLA12_CO-114,1,5.89,5.8
NLA12_CO-131,1,2.48,1.762857143
NLA12_MN-153,1,5.74,6.704
NLA12_WV-112,1,22.97,25.25714286
NLA12_MT-142,1,3.24,2.224
NLA12_GA-118,1,0.86,1.35
NLA12_MD-105,1,21.12,22.24
NLA12_IA-150,1,57.6,72.8
NLA12_LA-172,1,53.33,74
NLA12_OK-103,1,9.04,19.4
NLA12_OH-103,1,3.88,3.76
NLA12_WA-118,1,3.81,1.7
NLA12_UT-148,1,77.33,74.8
NLA12_KS-122,1,12.61,20
NLA12_RI-102,1,4.43,5.152
NLA12_ID-168,1,0.78,1.296
NLA12_KY-107,2,10.96,11.42857143
NLA12_ID-141,1,1.41,1.264
NLA12_UT-125,1,0.56,0.664
NLA12_KY-116,1,1.66,2.593333333
NLA12_KY-101,2,0.78,0.6205
NLA12_VT-112,1,NA,17.76
NLA12_ID-113,1,5.27,3.73
NLA12_ID-101,1,1.48,1.168
NLA12_SD-183,1,4.57,4.672
NLA12_ND-196,1,18.3,17.17333333
NLA12_UT-260,1,4.6,3.564
NLA12_RI-111,1,9.76,9.338461538
NLA12_MD-101,1,1.72,1.776
NLA12_KS-101,2,8.52,5.333
NLA12_ID-209,1,0.27,0.424
NLA12_ID-175,1,11.48,24.48
NLA12_CO-108,1,0.61,0.371
NLA12_IA-152,1,56.4,62.4
NLA12_ND-106,1,3.24,13.2
NLA12_WA-157,1,2.08,1.744
NLA12_WA-121,1,4.59,4.986666667
NLA12_WY-101,1,0.48,0.519
NLA12_MO-108,1,2.21,2.192
NLA12_WY-104,1,1.18,1.02
NLA12_WY-107,1,2.24,3.44
NLA12_MI-111,1,35.52,21.04
NLA12_MI-114,1,3.61,11.2
NLA12_MI-135,1,3.32,4.581
NLA12_MI-155,1,6.83,6.8
NLA12_WY-130,1,4.11,5.408
NLA12_IA-104,1,13.9,4.8
NLA12_CA-101,1,8,14
NLA12_GA-105,1,1.44,0.9328
NLA12_MT-107,1,7.22,6.616
NLA12_OK-105,1,33.8,33.9
NLA12_WY-105,1,22.08,1.756
NLA12_OR-104,1,2.86,2.821333333
NLA12_OK-106,1,28.4,26.8
NLA12_ND-101,2,141.26,41.952
NLA12_IA-127,1,23,14.34666667
NLA12_MO-R02,1,2.69,2.682666667
NLA12_NJ-131,1,2.55,2.901333333
NLA12_MN-147,1,10.45,10.22857143
NLA12_VA-111,1,33.6,66.56
NLA12_VA-101,1,27.04,64.672
NLA12_WA-138,1,1.93,3.136
NLA12_VT-R01,1,0.92,0.858666667
NLA12_UT-169,1,1.93,1.56
NLA12_NJ-118,1,9.02,7.9
NLA12_OK-117,1,154,109
NLA12_MN-123,1,12.76,20.4
NLA12_SD-126,1,94.32,93.71428571
NLA12_TX-176,1,19.55,21.216
NLA12_CA-180,1,4.4,3.4
NLA12_MT-143,1,0.89,0.63
NLA12_ND-134,1,22.64,24.4
NLA12_ND-107,1,16.68,19.48
NLA12_MO-R01,1,1.42,1.184
NLA12_WY-135,1,4.72,3.272
NLA12_WY-131,1,9.92,2.36
NLA12_CT-104,1,10.76,28.404
NLA12_RI-110,1,3.34,24.32
