SITE_ID,VISIT_NO,d18O,dD,d_excess,E_I,RT_iso,RT_modeled,Lk_vol_m3
NLA17_ND-10077,1,-5.62,-65.55,-20.59,0.562,0.640296948,0.570997013,275069.9534
NLA17_ND-10081,1,-9.88,-96.27,-17.23,0.2,0.515325421,0.74879756,29593.3748
NLA17_ND-10082,1,-3.37,-44.71,-17.75,0.815,0.495010977,0.861079887,14311.7297
NLA17_ND-10084,1,-5.74,-62.2,-16.28,0.611,1.350970442,1.090323522,59890.347
NLA17_ND-10089,1,-7.1,-72.71,-15.91,0.347,0.255896705,0.727544558,13884.5634
NLA17_ND-10090,1,-5.43,-53.97,-10.53,0.484,0.659786756,0.803270965,15343.6306
NLA17_ND-10095,1,-3.74,-42.88,-12.96,0.77,3.191859406,0.575293985,1034101.598
NLA17_ND-10100,1,-5.19,-61.22,-19.7,0.695,1.336167767,0.819863598,76639.5903
NLA17_ND-10102,1,-5.95,-54.1,-6.5,0.253,0.186456246,0.628990043,41094.9986
NLA17_ND-10103,1,-4.11,-44.73,-11.85,0.545,0.142913869,0.71233618,1870.0573
NLA17_ND-10107,1,-0.66,-38.4,-33.12,1.261,0.527363266,0.350284896,2986.138
NLA17_ND-10189,1,-2.49,-53.4,-33.48,1.2,0.960849051,0.51340143,7362.4011
NLA17_ND-HP001,1,-3.61,-40.4,-11.52,0.658,1.658240472,0.832517712,164066.7458
NLA17_ND-HP002,1,-4.47,-53.51,-17.75,0.929,4.833665268,0.745587754,670703.1441
NLA17_NE-10001,1,-3.92,-36.28,-4.92,0.189,0.802865272,0.143694797,173934356.5
NLA17_NE-10002,1,-1.87,-30.18,-15.22,0.52,0.990982706,0.63388604,270537.3759
NLA17_NE-10003,1,-8.46,-60.53,7.15,0.068,0.036741961,0.054327599,189328.0916
NLA17_NE-10004,1,-1.58,-29.37,-16.73,0.572,0.302686728,0.502433947,201817.7166
NLA17_NE-10006,1,-4.33,-49.97,-15.33,0.288,0.170448151,0.634752999,97061.9433
NLA17_NE-10007,1,-11.59,-98.32,-5.6,0.261,2.281227609,0.801837818,24901969.34
NLA17_NE-10008,1,-1.53,-26.51,-14.27,0.574,0.502106681,0.541300888,984118.8131
NLA17_NE-10011,1,1.63,1.29,-11.75,0.733,0.74376148500000006,0.639575271,76063.0186
NLA17_NE-10012,1,-4.53,-59.03,-22.79,0.161,0.83392409,0.445052743,1443593.854
NLA17_NE-10014,1,-1.65,-33.04,-19.84,0.586,0.294031264,0.728210399,52659.6108
NLA17_NE-10025,1,-1.18,-27.31,-17.87,0.6,0.559393291,0.718520558,75257.4076
NLA17_NE-10028,1,-3.35,-28.91,-2.11,0.346,0.697237727,0.509421627,87697.9382
NLA17_NE-10029,1,-7.75,-61.39,0.61,0.213,0.762878842,0.327682487,28134263.88
NLA17_NE-10032,1,-8.53,-72.88,-4.64,0.072,0.075308078,0.571559577,398486.8585
NLA17_NE-10037,1,-3.56,-34.07,-5.59,0.298,0.274843202,0.433517527,459086.5387
