SITE_ID,VISIT_NO,MAGNESIUM_mgL,DOC_mgL,SILICA_mgL,CHLORIDE_mgL,COND_USCM,NITRATE_N_mgL,PH,CHLA_ugL,NTL_mgL,TURB_NTL,AMMONIA_N_mgL,POTASSIUM_mgL,SULFATE_mgL,SODIUM_mgL,COLOR_ALPHA,ANC_ueqL,CALCIUM_mgL,PTL_ugL,NITRITE_N_mgL,ALUMINUM_mgL,NITRATE_NITRITE_N_mgL,TKN_mgL,BATCH_ID
NLA17_RI-10011,1,2.737,2.49,5.386,94.545,441.9,0.0304,7.6,35.64,0.638,7.3,0.046,3.188,12.579,63.116,10,559.55,16.032,37.78375,0.002,NA,NA,NA,NA
NLA17_MN-10159,1,0.983,6.06,6.766,0.135,25.4,0,7.13,4.84,0.363,1.12,0.006,0.187,2.051,0.877,20,146.98,2.633,18.61375,0,NA,NA,NA,NA
NLA17_NC-10001,2,1.413,1.9,8.645,3.987,53.9,0,7.91,9.44,0.318,1.92,0.008,1.742,2.326,4.027,12,280.98,3.367,27.57375,0,NA,NA,NA,NA
NLA17_NC-10004,2,0.424,1.75,3.408,0.947,20.5,0,7.11,3.32,0.176,1.1,0.006,0.947,0.438,1.509,20,143.65,1.405,13.58875,0,NA,NA,NA,NA
NLA17_NC-10011,1,0.964,5.12,1.146,3.234,31.3,0,7.01,15.1,0.605,5.73,0.009,1.936,0.9,1.885,15,116.51,1.304,48.11875,0,NA,NA,NA,NA
NLA17_IN-10100,1,24.286,4.27,12.419,14.322,554.3,0.1221,8.32,17.1,0.661,8.63,0.038,1.943,73.891,6.28,10,3888.15,71.813,94.00375,0,NA,NA,NA,NA
NLA17_GA-10005,2,1.847,4.76,2.749,1.208,32.7,0,7.37,15.81,0.909,4.43,0.008,0.12,0.429,0.857,5,255.45,2.647,48.2,0,NA,NA,NA,NA
NLA17_ME-10039,1,1.956,2.69,6.115,0.281,139.9,0.002,8.22,1.06,0.275,0.64,0.014,0.196,2.581,1.182,5,1332.48,24.625,11.22625,0,NA,NA,NA,NA
NLA17_ND-10032,1,175.597,29.06,29.843,18.048,1931.5,0,8.94,137.71,6.375,27.47,0.039,29.525,717.612,112.321,30,7252.02,38.939,291.06125,0,NA,NA,NA,NA
NLA17_CO-10024,2,3.441,3.45,2.487,2.815,133.2,0,7.99,5.49,0.318,1.46,0.007,0.825,20.321,4.863,5,665.4,14.864,15.60375,0,NA,NA,NA,NA
NLA17_MI-10019,1,12.497,2.91,6.338,9.021,279.4,0,8.43,0.65,0.273,0.38,0.018,0.599,8.001,7.228,0,2190.48,30.248,5.855,0,NA,NA,NA,NA
NLA17_CT-10006,1,18.765,3.24,3.216,97.221,642.9,0,8.43,2.77,0.248,0.78,0.007,5.518,15.793,61.592,8,2885.17,40.412,4.75125,0,NA,NA,NA,NA
NLA17_NE-10008,1,20.532,41.96,0.216,8.282,635.7,0,8.64,220,9.25,62.85,0.109,57.098,0.043,47.247,45,6178.95,35.864,428.63125,0,NA,NA,NA,NA
NLA17_OR-10102,1,0.26,1.72,6.386,0.195,9.5,1e-4,7.06,0.83,0.181,0.65,0.011,0.187,0.046,0.847,8,95.47,0.582,12.85625,0,NA,NA,NA,NA
NLA17_MA-10002,1,2.891,5.89,3.187,142.199,556.4,0.0175,7.34,5.03,0.705,4.1,0.088,2.979,5.074,88.891,20,314.64,12.631,29.745,0,NA,NA,NA,NA
