SITE_ID,VISIT_NO,MAGNESIUM_mgL,DOC_mgL,SILICA_mgL,CHLORIDE_mgL,COND_USCM,NITRATE_N_mgL,PH,CHLA_ugL,NTL_mgL,TURB_NTL,AMMONIA_N_mgL,POTASSIUM_mgL,SULFATE_mgL,SODIUM_mgL,COLOR_ALPHA,ANC_ueqL,CALCIUM_mgL,PTL_ugL,NITRITE_N_mgL,ALUMINUM_mgL,NITRATE_NITRITE_N_mgL,TKN_mgL,BATCH_ID
NLA17_WY-10039,1,6.206,10.16,8.765,5.475,479.6,0.5103,8.05,10.76,2.006,530,0.122,12.172,108.867,65.535,28,2110.56,19.028,792.568,0.007,NA,NA,NA,NA
NLA17_ND-10126,1,78,NA,NA,49.8,2430,NA,8.67,3.2,2.06,NA,0.34,13.4,876,363,NA,8152.656,43.3,190,NA,50,NA,2.03,NA
NLA17_WY-10013,1,19.481,6.6,21.854,1.415,346.2,0.0016,8.79,19.31,0.849,2.79,0.016,0.794,41.957,25.08,19,2675.45,19.726,42.05375,0,NA,NA,NA,NA
NLA17_WA-HP002,1,0.473,0.38,2.062,0.037,32.1,0,7.38,0.45,0.034,0.22,0.004,0.252,2.039,0.316,15,247.63,4.963,3.89125,0,NA,NA,NA,NA
NLA17_SD-HP001,1,30.821,13.01,9.163,31.82,1125.6,0.014,8.34,33.97,1.423,5.29,0.026,18.29,375.346,95.143,35,2735.77,73.223,275.62375,0,NA,NA,NA,NA
NLA17_MN-10183,1,197.761,19.38,10.206,21.634,1969,0.0346,8.7,46.8,2.329,4.08,0.367,20.478,813.354,66.199,36,7018.95,69.507,196.6125,0.023,NA,NA,NA,NA
NLA17_MN-10192,1,41.159,9.63,29.769,28.093,695.9,0.4767,8.3,46.8,2.983,29.22,0.894,4.873,94.792,16.534,35,4509.38,60.519,269.23125,0.005,NA,NA,NA,NA
NLA17_CT-10010,1,11.31,3.22,3.709,39.648,337.3,0.0017,8.86,15.64,0.51,2.6,0.009,1.944,7.563,21.347,20,1978.23,28.065,22.26875,0,NA,NA,NA,NA
NLA17_GA-10023,1,2.521,3.53,8.218,3.3,82.5,0,7.77,24.51,0.64,4.65,0.009,2.437,2.234,2.898,29,621.69,7.998,35.86125,0,NA,NA,NA,NA
NLA17_TX-10085,1,13.387,3.65,13.95,14.266,330.8,0.0018,8.39,2.53,0.299,1.44,0.007,1.738,12.744,8.041,18,2584.47,36.309,14.435,0,NA,NA,NA,NA
NLA17_MN-10028,1,1.986,6.64,1.286,0.234,87.7,0,7.93,4.6,0.418,0.99,0.007,0.401,1.791,0.799,18,834,13.692,5.975,0,NA,NA,NA,NA
NLA17_CA-10054,1,19.041,8.24,24.146,65.625,568.9,0,8.61,7.34,0.649,1.39,0.012,3.835,50.804,46.817,27,2325.91,33.954,25.6775,0,NA,NA,NA,NA
NLA17_OR-10008,2,13.802,16.19,2.636,1.17,308,0,8.09,5.36,1.089,2.36,0.02,0.753,0.13,24.499,52,3212.59,24.257,75.48375,0,NA,NA,NA,NA
NLA17_WI-10006,1,7.04,8.34,9.12,9.27,157,NA,8.22,4.18,0.483,1.4,NA,0.773,2.13,4.73,10,1248,14.9,11.8,NA,11.3,NA,NA,NA
NLA17_WI-10118,1,29.6,17.5,7.76,21.2,587,0.77,8.42,14.9,1.46,2.5,NA,2.91,10.9,8.03,60,5640,74.6,30.5,NA,15.4,NA,NA,NA
NLA17_WV-10003,2,4.604,3.99,2.187,1.475,150.8,0,8.25,4.1,0.359,1.23,0.014,0.992,8.295,1.284,9,1260.83,21.57,11.65125,0,NA,NA,NA,NA
NLA17_WY-10004,1,8.181,4.64,8.545,2.232,239.4,0.0045,8.27,1.96,0.435,1.11,0.023,0.95,8.719,6.811,30,2245.48,31.081,23.8425,0,NA,NA,NA,NA
NLA17_OK-10095,1,5.114,7.75,6.702,13.637,165.7,0,7.96,23.2,0.895,11,0.012,3.431,4.007,9.32,40,1017.57,13.292,79.5575,0,NA,NA,NA,NA
NLA17_SD-10112,1,43.06,13.78,21.34,90.898,1489.5,0.037,8.46,3.46,1.528,2.69,0.266,27.91,377.591,144.007,26,5353.81,78.305,1578.888,0.007,NA,NA,NA,NA
NLA17_CA-10005,2,22.223,6.56,4.753,104.469,846.7,0.0018,8.9,17.92,0.825,3.09,0.014,11.394,133.143,86.695,16,2427.49,48.363,62.87875,0,NA,NA,NA,NA
NLA17_ND-HP001,1,97.159,10.67,10.907,9.627,1240.3,0,8.58,7.94,1.069,2.52,0.02,14.33,457.553,47.973,26,4552.05,57.046,46.71625,0,NA,NA,NA,NA
NLA17_GA-10004,1,1.736,2.44,5.229,4.425,66.2,0,7.68,7.41,0.279,1.49,0.007,1.975,3.016,3.989,9,407.64,5.21,10.0975,0,NA,NA,NA,NA
NLA17_TX-10089,1,1.9,9.51,11.564,10.229,157.1,0.002,8.6,8.5,1.101,1.93,0.034,1.402,5.529,7.236,31,1054.77,20.4,33.37875,0,NA,NA,NA,NA
NLA17_WV-10015,1,8.255,4.19,4.139,6.68,348.9,0,7.67,17.14,0.49,4.03,0.009,13.66,102.707,9.65,25,790.17,33.714,28.325,0,NA,NA,NA,NA
NLA17_WY-10050,1,0.547,6.37,1.065,0.075,19,0.0014,7.3,5.68,0.476,0.83,0.01,0.129,1.054,0.802,15,143.01,2.35,24.77625,0,NA,NA,NA,NA
NLA17_FL-10030,1,4.025,10.21,1.473,39.234,356.2,0.0016,8.21,2.37,0.759,0.68,0.024,2.268,19.284,25.665,10,1790.43,37.139,5.05375,0,NA,NA,NA,NA
NLA17_AR-10022,1,1.237,7.1,5.635,3.296,55.1,0,7.2,54.93,0.798,10.94,0.011,1.654,1.197,2.848,15,355.31,5.368,118.70125,0,NA,NA,NA,NA
NLA17_MI-10092,1,18.483,14.26,7.357,6.69,378.4,0.0016,8.12,5.45,0.693,0.58,0.026,1.228,0.672,4.488,65,3823.27,47.911,16.705,0,NA,NA,NA,NA
NLA17_MN-10009,1,22.944,8.19,3.862,20.013,397.9,0,8.53,21,0.903,4.58,0.014,3.766,6.349,6.376,23,3460.48,37.515,41.77,0,NA,NA,NA,NA
NLA17_MN-10188,1,25.24,13.55,34.385,86.931,539.5,0.0015,9.12,165.2,3.2,20.66,0.026,4.434,0.32,37.253,30,2724.69,29.753,251.775,0,NA,NA,NA,NA
NLA17_WV-10017,1,5.03,4.34,2.888,6.739,182.3,0,7.93,5.11,0.343,2.27,0.01,1.849,10.535,5.701,16,1323.56,21.674,15.06125,0,NA,NA,NA,NA
NLA17_NV-10005,1,91.76,11.46,4.572,1638.029,6856.8,0.0695,9.21,1.43,0.574,1.61,0.01,92.912,253.627,1416.472,0,18596.25,12.683,67.92875,0,NA,NA,NA,NA
NLA17_OR-10128,2,3.96,3.82,11.1,5.92,NA,NA,NA,8.5,0.6625,NA,NA,4.47,2.8,6.38,NA,1059.046,11.8,40,NA,NA,NA,0.66,NA
NLA17_OR-10132,1,0.37,1.41,4.88,0.69,NA,NA,NA,0.2,NA,NA,NA,NA,0.26,0.9,NA,99.91,1.08,NA,NA,NA,NA,NA,NA
NLA17_NY-10001,1,9.61,2.97,1.633,30.456,316,0,8.44,2.77,0.249,0.54,0.008,2.085,18.897,16.584,0,1743.86,28.649,6.58625,0,NA,NA,NA,NA
NLA17_NY-10007,1,0.875,3.51,0.826,1.256,31.2,0,6.98,3.03,0.363,0.94,0.009,0.254,2.542,1.257,10,187.51,3.147,16.48125,0,NA,NA,NA,NA
NLA17_TN-10022,1,3.459,5.6,6.763,2.628,142.2,0.0018,8.32,60.32,1.465,9.58,0.015,1.403,2.814,1.723,17,1268.74,20.955,107.77875,0,NA,NA,NA,NA
NLA17_NY-10018,1,2.61,4.34,2.752,14.05,151.7,0.003,7.75,24.4,0.56,8.41,0.013,0.969,5.741,8.814,28,866.74,15.671,71.28875,0,NA,NA,NA,NA
NLA17_MT-10030,1,15.738,17.73,17.986,1.223,271.2,0.0016,8.41,17.47,1.975,3.48,0.048,7.234,0.011,2.354,32,2708.98,27.785,65.675,0,NA,NA,NA,NA
NLA17_NY-HP001,1,1.135,3.19,2.841,0.569,41.6,0.0014,7.47,1.56,0.183,0.36,0.007,0.207,3.048,0.922,6,289.46,5.316,5.03,0,NA,NA,NA,NA
NLA17_WY-10009,1,0.218,0.5,1.693,0.135,14.7,0.0037,7.06,2.55,0.08,0.57,0.006,0.409,1.08,0.645,9,110.67,1.792,6.28375,0,NA,NA,NA,NA
NLA17_WY-10020,1,1.146,3.73,6.51,0.573,75.9,0.01,7.81,4.97,0.566,18.65,0.01,0.868,6.42,3.862,4,548.36,8.738,98.42375,0.001,NA,NA,NA,NA
NLA17_WY-10031,1,0.266,0.56,1.687,0.136,15.6,0.07,7.08,0.76,0.125,0.58,0.008,0.436,1.616,0.539,0,104.96,1.888,7.67,0.001,NA,NA,NA,NA
NLA17_TN-10023,1,2.067,5.11,4.773,0.516,88.4,0.0028,8.51,13.78,0.609,6.18,0.03,1.03,3.43,1.622,3,736.93,13.284,39.8275,0,NA,NA,NA,NA
NLA17_ND-10107,1,334.188,62.1,49.41,131.887,5116.5,0,8.54,13.6,7.05,11.36,1.24,91.563,2342.532,654.844,62,14154.59,167.166,1962.584,0.006,NA,NA,NA,NA
NLA17_MN-10180,1,19.704,14.55,18.342,8.468,376.9,0.0015,8.29,115.2,2.505,16.41,0.024,5.617,0.579,3.3,55,3705.6,45.522,203.05375,0,NA,NA,NA,NA
NLA17_MT-10076,1,59.995,13.16,4.831,2.503,609.6,0,8.93,3.87,0.908,1.71,0.015,3.629,26.29,34.203,21,6493.7,20.643,16.90625,0,NA,NA,NA,NA
NLA17_IN-10076,1,15.796,7.8,9.837,8.316,249,0,8.55,145.33,2.595,28.6,0.032,2.505,2.864,3.713,2,2269.85,23.352,310.3075,0,NA,NA,NA,NA
NLA17_MN-10017,1,78.398,18.78,24.818,11.656,852.4,0,8.65,51.2,2.73,13,0.024,14.357,248.092,16.396,15,3923.82,44.799,93.97625,0,NA,NA,NA,NA
NLA17_OR-10006,1,2.77,3.41,12.483,0.454,87.9,0,8.32,33.44,0.528,3.23,0.011,1.598,5.414,3.698,10,715.77,9.719,50.1625,0,NA,NA,NA,NA
NLA17_OR-10088,1,20.149,5.47,18.673,19.808,623.4,0,9.08,4.1,0.554,1.45,0.013,3.269,101.696,103.758,7,3423.28,14.657,30.12,0,NA,NA,NA,NA
NLA17_SC-HP002,1,0.538,1.03,7.398,1.275,21.5,0,7.12,2.53,0.066,0.75,0.004,0.782,1.095,2.025,5,126.37,1.125,6.89125,0,NA,NA,NA,NA
NLA17_WY-10019,1,2.64,1.17,37.118,0.287,78.9,0.0014,8.6,9.04,0.101,0.79,0.005,2.166,1.006,2.376,15,756.31,9.176,102.7375,0,NA,NA,NA,NA
NLA17_OR-10029,1,0.107,0.43,3.28,0.073,9.8,0,6.89,0.29,0.02,0.19,0.004,0.35,0.56,0.558,0,75.47,1.192,2.2025,0,NA,NA,NA,NA
NLA17_ND-10128,1,383,NA,NA,30.9,2360,NA,8.55,1.6,2.46,NA,0.03,30.9,1140,125,NA,6054.546,48,30,NA,65,NA,2.43,NA
NLA17_MO-10028,1,1.654,7.61,2.81,2.211,59.2,0.0052,7.18,57.2,0.83,6.54,0.026,4.094,2.714,3.24,60,399.65,3.827,75.63875,0,NA,NA,NA,NA
NLA17_NY-10005,1,0.633,4.61,0.182,0.335,23.3,0,6.95,3.65,0.224,0.64,0.008,0.383,2.808,0.753,25,124.51,2.608,9.05,0,NA,NA,NA,NA
NLA17_NY-10014,1,0.97,16.12,5.346,0.164,24.4,0,6.7,6.22,0.501,1.7,0.015,0.13,0.92,0.905,150,147.36,3.128,29.9525,0,NA,NA,NA,NA
NLA17_MT-10002,1,0.217,3.12,6.558,0.122,16.6,0,6.2,6.46,0.211,1.04,0.008,0.238,0.295,1.603,4,132.54,1.425,15.4375,0,NA,NA,NA,NA
NLA17_CT-10005,2,1.296,3.23,0.841,6.651,56.3,0.0019,7.27,2.78,0.236,1.28,0.014,0.878,2.882,5.001,15,220.6,3.299,18.0025,0,NA,NA,NA,NA
NLA17_MO-10001,2,6.935,5.53,6.102,5.922,193.9,0,7.88,53.6,0.983,19.21,0.011,4.063,23.433,9.305,17,1091.54,17.237,97.46625,0,NA,NA,NA,NA
NLA17_MT-10015,1,0.235,0.68,2.686,0.062,7.8,0.0016,6.81,0.45,0.03,0.43,0.004,0.103,0.299,0.553,0,65.92,0.745,3.7325,0,NA,NA,NA,NA
NLA17_MI-10133,1,0.505,17.03,0.551,0.18,14.6,0,5.83,7.99,0.563,1.43,0.016,0.446,0.56,0.465,200,46.98,1.48,18.38125,0,NA,NA,NA,NA
NLA17_WY-10006,1,0.457,6.01,1.778,0.186,20.2,0,7.03,2.81,0.276,0.54,0.011,0.446,0.658,0.975,22,142.02,2.348,14.85125,0,NA,NA,NA,NA
NLA17_IN-10096,1,1.947,4.8,2.26,0.525,64.7,0,7.53,18.88,0.459,4.76,0.009,1.802,4.172,1.968,15,487.3,6.926,36.04875,0,NA,NA,NA,NA
NLA17_MN-10030,1,41.851,6.65,33.775,22.012,651.9,0,8.64,20.16,1.209,11.97,0.112,5.014,171.401,14.305,5,2670.55,55.39,101.75625,0,NA,NA,NA,NA
NLA17_NE-10070,1,13.798,5.79,16.415,21.191,478.6,0.0014,8.7,29.28,0.986,6.35,0.011,9.315,91.758,48.379,10,1959.95,26.484,47.75,0,NA,NA,NA,NA
NLA17_MT-10012,1,78.583,14.8,0.566,4.144,804.5,0.0015,9.44,1.35,1.111,0.61,0.018,3.565,2.105,99.742,23,9903.75,8.813,15.66965,0,NA,NA,NA,NA
NLA17_MT-10101,1,0.073,1.4,2.671,0.06,5.9,0.0015,6.86,0.92,0.093,0.66,0.004,0.076,0.137,0.458,0,53.94,0.674,6.90625,0,NA,NA,NA,NA
NLA17_MT-10104,1,19.227,4.34,3.169,1.078,244.5,0.0025,8.76,4.69,0.525,0.88,0.01,1.049,2.638,3.188,5,2547.63,21.275,11.5059,0,NA,NA,NA,NA
NLA17_NY-10017,1,0.119,3.99,0.184,0.078,6.9,0,5.66,0.71,0.209,0.51,0.008,0.001,1.366,0.373,29,10.37,0.372,3.84715,0,NA,NA,NA,NA
NLA17_IA-10039,1,10.738,6.95,12.826,8.988,250.8,0.0017,8.43,137.6,2.434,29.67,0.03,2.713,1.369,9.721,35,2308.34,24.612,460.86965,0,NA,NA,NA,NA
NLA17_MS-10001,1,11.646,4.17,7.237,13.154,301.9,0,8.6,16.2,0.605,8.1,0.009,3.269,12.376,10.741,14,2412.72,34.018,68.0025,0,NA,NA,NA,NA
NLA17_CA-10004,1,4.278,5.64,0.35,6.308,290.7,0,8.57,1.08,0.475,0.63,0.009,6.154,6.57,36.438,2,2716.96,22.402,5.55715,0,NA,NA,NA,NA
NLA17_DE-10011,1,5.705,4.15,6.423,13.915,166.8,0.2533,7.89,18.84,1.126,4.33,0.233,3.763,10.217,6.794,18,907.74,15.535,75.19715,0.012,NA,NA,NA,NA
NLA17_CT-10019,1,5.923,7.66,7.4,50.025,285.4,0,8.15,115.2,1.059,8.31,0.011,3.053,4.374,24.572,45,963.26,20.212,71.4509,0,NA,NA,NA,NA
NLA17_MT-10084,1,22.683,14.58,19.727,0.864,321.1,0.0014,8.46,1.55,0.974,0.75,0.022,2.173,0.906,6.104,13,3505.66,32.086,21.0809,0,NA,NA,NA,NA
NLA17_MT-10120,1,19.92,7.58,19.928,5.843,287.5,0.0017,8.55,3.34,0.773,0.68,0.025,1.147,1.339,4.081,18,2931.21,28.896,23.16715,0,NA,NA,NA,NA
NLA17_AL-HP001,1,0.611,2.1,8.428,1.57,20.1,0.0016,7.08,7.15,0.275,2.09,0.005,1.198,0.974,1.209,9,98.24,1.14,24.72715,0,NA,NA,NA,NA
NLA17_CO-HP003,1,0.343,0.91,3.341,0.066,27.7,0.046,7.16,6.55,0.184,0.82,0.004,0.161,4.644,0.793,12,132.45,3.773,12.03215,0.001,NA,NA,NA,NA
NLA17_ND-10110,1,179,NA,NA,56.5,3300,NA,8.7,32,2.23,NA,NA,50.3,1460,464,NA,8991.9,86.8,350,NA,123,0.03,2.2,NA
NLA17_AR-10003,2,1.214,6.24,5.76,6.538,45.3,0.0014,6.98,20.08,0.416,4.72,0.011,1.482,1.212,4.282,46,141.76,2.48,28.45715,0,NA,NA,NA,NA
NLA17_MS-10005,1,0.826,3.69,5.996,3.371,38.8,0,7.46,18.41,0.429,4.52,0.008,1.105,0.802,3.254,18,246.52,2.817,23.95375,0,NA,NA,NA,NA
NLA17_GA-10003,1,1.589,3.37,7.279,4.542,38.3,0.0351,7.05,42.4,0.511,9.27,0.008,1.261,0.297,2.668,23,179.67,2.173,35.0809,0.002,NA,NA,NA,NA
NLA17_OR-10123,1,2.53,3.8,6.46,27.2,NA,NA,NA,1.9,0.2125,NA,NA,1.01,4.2,17.7,NA,219.802,1.94,NA,NA,NA,NA,0.21,NA
NLA17_TX-10096,1,122.556,6.82,7.281,128.126,2666.7,0,8.09,5.44,0.763,10.74,0.165,14.885,1358.111,92.987,12,1914.95,393.894,26.8484,0,NA,NA,NA,NA
NLA17_UT-10001,2,8.54,2.68,2.747,1.207,116.2,0.0022,9.11,1.38,0.218,0.66,0.006,0.043,0.412,1.108,6,1142.5,11.291,9.13125,0,NA,NA,NA,NA
NLA17_OR-10180,1,5.24,9.8,9.07,40.1,NA,NA,NA,3.8,1.3025,NA,NA,2.45,0.83,24.6,NA,559.496,3.06,130,NA,NA,NA,1.3,NA
NLA17_OK-10001,2,23.518,5.94,0.295,63.273,619.8,0,8.56,25.71,0.715,3.53,0.01,6.824,67.934,65.048,12,2847.05,28.944,43.1025,0,NA,NA,NA,NA
NLA17_WY-10004,2,8.242,4.84,7.509,2.181,209.7,0.0031,8.49,1.53,0.444,0.93,0.018,0.981,8.371,6.862,22,1939.41,24.24,22.28875,0,NA,NA,NA,NA
NLA17_MT-10102,1,10.662,4.9,10.925,3.208,236.6,0.0069,8.72,2.78,0.71,6.37,0.058,3.676,4.174,13.463,32,2390.43,21.48,56.015,0,NA,NA,NA,NA
NLA17_MS-10021,1,0.831,7.88,8.536,2.425,40.3,0,7.11,26.95,0.708,8.94,0.01,1.743,2.101,3.784,64,232.88,2.664,115.0325,0,NA,NA,NA,NA
NLA17_IN-10013,1,7.314,12.01,0.177,12.382,290.7,0,8.07,284.4,3.043,77.4,0.023,12.652,7.95,8.524,34,2343.59,36.035,954.315,0,NA,NA,NA,NA
NLA17_TX-10025,1,2.222,5.37,8.994,6.093,234.6,0.0086,8.22,5.56,0.634,41.27,0.052,3.941,9.493,13.674,14,2028.62,32.389,71.385,0.001,NA,NA,NA,NA
NLA17_UT-10082,1,3.942,3.64,0.471,3.598,124.7,0,8.35,1.5,0.359,0.43,0.005,5.188,1.481,5.876,3,1099.89,11.637,10.30875,0,NA,NA,NA,NA
NLA17_OK-10045,1,1.657,7.43,6.321,2.018,38,0,7.26,21.6,0.525,6.9,0.006,1.167,2.782,2.493,42,215.35,2.136,40.3925,0,NA,NA,NA,NA
NLA17_WI-10017,1,1.53,8.69,2.66,NA,30.1,NA,6.9,12.9,0.445,3.32,NA,0.317,0.229,0.992,30,267,3.12,31.4,NA,10.3,NA,NA,NA
NLA17_SD-10093,1,30.065,12.84,25.795,3.982,387,0,8.46,25.71,2.188,24.8,0.018,4.236,34.464,6.215,22,3441.93,30.758,134.55875,0,NA,NA,NA,NA
NLA17_PA-10002,1,0.947,4.14,0.276,7.21,74.5,0,7.63,19.2,0.548,3.72,0.016,1.08,2.491,5.499,13,428.78,7.4,28.7175,0,NA,NA,NA,NA
NLA17_IA-10041,1,24.846,7.83,0.153,38.596,394.2,0,8.57,43.76,1.286,7.34,0.03,3.014,5.473,17.538,19,2766.21,24.691,94.21125,0,NA,NA,NA,NA
NLA17_NY-10002,1,0.484,5.59,4.074,3.524,31.6,0.0151,6.95,2.66,0.25,0.65,0.014,0.266,2.332,2.803,34,98.98,2.386,8.825,0,NA,NA,NA,NA
NLA17_NY-10004,1,0.36,3.97,2.438,0.155,18.3,0,7,4.53,0.255,0.75,0.009,0.15,2.059,0.73,18,111.14,2.204,9.8875,0,NA,NA,NA,NA
NLA17_SD-10057,1,12.731,11.94,1.639,3.847,581,0.0254,9.17,15.24,1.454,3.91,0.163,8.006,144.997,90.117,33,2598.44,23.094,320.06875,0.004,NA,NA,NA,NA
NLA17_MN-10037,1,78.017,15.83,15.234,53.856,852.4,0.0118,8.62,21.68,2.448,3.51,0.459,14.064,130.708,28.922,35,4880.67,33.631,211.32125,0,NA,NA,NA,NA
NLA17_DE-10004,2,3.856,8.39,16.807,12.174,143.3,3.3264,7.47,13.8,3.738,2.26,0.021,5.606,4.417,9.24,78,551.78,8.921,116.28125,0.008,NA,NA,NA,NA
NLA17_IA-10005,2,26.426,5.44,23.652,16.07,405.4,0,8.49,14.53,0.801,6.72,0.007,3.575,12.946,5.507,3,3573.37,36.879,58.1375,0,NA,NA,NA,NA
NLA17_MT-HP001,1,418.951,33.35,4.023,52.835,6746.8,0,9.09,14.8,2.166,2.93,0.016,22.047,3511.045,1177.684,32,9751.77,35.441,94.655,0,NA,NA,NA,NA
NLA17_NY-10025,1,7.514,1.67,0.869,18.512,284.6,0.3071,8.4,0.31,0.469,0.56,0.006,1.462,11.975,10.762,5,1952.14,33.09,6.15875,0.002,NA,NA,NA,NA
NLA17_NY-10001,2,9.685,2.74,1.774,30.818,322.2,0.0189,8.29,1.8,0.236,0.57,0.012,2.539,19.196,16.869,7,1764.85,29.335,6.53625,0,NA,NA,NA,NA
NLA17_IN-10123,1,3.727,5.67,7.877,1.084,73.8,0,7.52,34.24,0.723,8.85,0.012,1.466,11.108,2.667,30,427.66,5.63,46.03375,0,NA,NA,NA,NA
NLA17_MN-10012,1,16.144,11.24,26.946,0.718,213.4,0.0017,8.88,8.64,1.261,5.01,0.02,0.872,0.02,2.8,6,2315.06,18.918,46.85875,0,NA,NA,NA,NA
NLA17_MN-10034,1,23.257,9.13,0.437,15.408,343.7,0.0016,8.29,2.6,0.963,3.18,0.025,2.302,3.797,1.993,25,3053.37,32.471,31.87125,0,NA,NA,NA,NA
NLA17_TX-10092,1,1.11,3.61,15.101,7.178,248.5,0.002,8.12,11.24,0.62,3.19,0.063,1.324,5.016,7.411,21,2218.9,45.083,33.43375,0,NA,NA,NA,NA
NLA17_KY-10001,2,1.789,1.29,4.056,0.632,32.8,0,7.24,2.1,0.093,2.2,0.003,0.994,5.766,0.965,22,158.65,2.247,8.4575,0,NA,NA,NA,NA
NLA17_LA-10108,1,0.584,5.32,1.334,0.795,19.9,0,6.91,19.44,0.583,4.46,0.007,2.226,0.255,0.678,40,125.94,1.214,41.6625,0,NA,NA,NA,NA
NLA17_PA-10001,2,6.857,3.16,2.193,13.335,212.3,0.9794,8.06,6.56,1.275,0.94,0.011,2.6,18.556,8.476,25,1193.3,21.812,9.63375,0.027,NA,NA,NA,NA
NLA17_AZ-10007,1,4.847,8.74,15.141,8.998,135,0.0024,8.45,145.07,4.625,154,0.009,3.193,1.06,7.602,36,1009.76,10.963,518.85125,0,NA,NA,NA,NA
NLA17_OR-10076,1,0.721,0.75,7.942,0.06,19.9,0,7.3,1.72,0.075,0.58,0.006,0.219,0.08,1.009,5,196.09,2.099,10.05375,0,NA,NA,NA,NA
NLA17_TX-10007,1,3.692,6.15,6.119,11.493,149.2,0.0046,7.81,48.4,0.908,4.39,0.178,5.776,11.042,10.912,10,766.15,10.821,44.845,0.001,NA,NA,NA,NA
NLA17_CA-10069,1,16.908,10.76,7.022,13.27,288.8,0.0018,8.23,9.42,0.931,3.62,0.014,2.98,5.912,17.169,33,2411.38,19.66,48.245,0,NA,NA,NA,NA
NLA17_WV-10001,2,0.899,2.1,1.407,3.689,62.4,0.0019,7.5,7.79,0.199,1.37,0.008,0.541,5.222,2.334,10,343.65,8.729,12.355,0,NA,NA,NA,NA
NLA17_MS-10007,2,2.135,5.43,1.525,4.693,113.1,0.0023,7.78,14.7,0.558,2.82,0.062,2.11,7.345,4.347,5,726.79,15.482,27.65125,0,NA,NA,NA,NA
NLA17_CA-10068,1,0.097,1.14,2.367,0.137,5.7,0.002,6.64,1.26,0.08,1.1,0.008,0.234,0.148,0.447,5,50.16,0.536,6.5075,0,NA,NA,NA,NA
NLA17_MT-HP002,1,8.54,3.27,6.843,0.282,215.1,0,8.42,1.26,0.24,0.58,0.009,0.901,0.543,2.034,27,2274.29,31.33,13.43125,0,NA,NA,NA,NA
NLA17_IA-10001,2,29.914,6.32,20.718,24.85,378.8,0,8.8,93.56,1.894,32.99,0.011,2.344,21.216,6.083,33,2939.01,30.693,142.67125,0,NA,NA,NA,NA
NLA17_MO-10009,1,1.694,5.27,4.163,0.405,32.2,0,7.36,11.74,0.418,3.58,0.006,1.378,1.769,0.892,28,235.93,2.523,23.68625,0,NA,NA,NA,NA
NLA17_TX-10010,1,3.253,2.53,11.814,7.639,83.5,0,7.52,3.4,0.249,1.42,0.014,2.62,5.881,6.796,5,415.35,4.028,19.43875,0,NA,NA,NA,NA
NLA17_MN-10842,1,17.63,6.63,7.67,0.621,279.1,0,8.49,3.54,0.473,1.14,0.013,1.861,0.088,8.193,27,2906.33,28.02,17.18,0,NA,NA,NA,NA
NLA17_OK-10019,1,19.831,14.25,16.018,59.496,708.4,0,9.02,64.8,2.608,42.86,0.034,10.023,72.734,70.654,40,4124.14,46.322,1072.803,0,NA,NA,NA,NA
NLA17_OK-10098,1,16.159,19.5,15.384,27.199,441.9,0,9.48,83.8,3.456,31.48,0.028,8.864,11.974,55.099,46,3679.39,17.87,207.93875,0,NA,NA,NA,NA
NLA17_TX-10088,1,3.8,11.66,15.385,7.614,241.4,0.024,7.87,100.8,2.813,298,0.587,9.811,4.974,6.564,20,2092.4,34.272,414.22375,0.007,NA,NA,NA,NA
NLA17_OH-10003,2,4.353,2.55,1.646,2.619,97.6,0,7.62,4.71,0.201,1.76,0.01,1.819,19.157,3.031,10,363.34,8.168,10.39375,0,NA,NA,NA,NA
NLA17_OH-10013,1,26.508,4.64,7.368,36.737,552.6,0.0159,8.3,63.36,1.171,22.95,0.117,2.729,25.304,23.321,26,4023.08,53.445,176.175,0,NA,NA,NA,NA
NLA17_CT-10001,2,2.875,5.75,6.807,32.414,159.9,0.0016,7.42,8.64,0.408,1.8,0.017,1.006,3.045,19.662,66,371.79,7.294,25.46875,0,NA,NA,NA,NA
NLA17_PA-10042,1,0.635,2.34,1.183,4.553,27.5,0,6.69,2.37,0.208,0.74,0.012,0.433,1.674,2.308,12,54.61,1.677,9.9175,0,NA,NA,NA,NA
NLA17_AR-10004,1,0.444,4.22,0.36,2.121,46.9,0.0015,7.15,15.9,0.535,4.95,0.013,1.566,2.494,6.4,32,293.55,2.273,49.02875,0,NA,NA,NA,NA
NLA17_ND-10127,1,51.9,NA,NA,20.9,740,NA,8.42,13.4,0.89,NA,NA,8.4,108,40.9,NA,5475.068,41.4,20,NA,NA,NA,0.86,NA
NLA17_MO-10038,1,5.437,3.6,6.489,0.643,87.1,0.0024,7.89,3.22,0.279,1.22,0.02,1.09,2.241,1.1,0,756.79,8.39,12.64,0,NA,NA,NA,NA
NLA17_UT-10100,1,0.634,5.84,0.364,0.634,21.4,0,7.13,1.87,0.299,0.7,0.01,0.279,0.473,0.89,15,147.35,2.541,6.64375,0,NA,NA,NA,NA
NLA17_MI-10141,1,0.742,13.31,4.027,0.197,18.9,0.0042,6.62,11.25,0.501,2.52,0.023,0.442,1.044,0.757,145,92.31,2.095,22.8925,0,NA,NA,NA,NA
NLA17_OR-10001,1,18.059,29.76,6.474,16.691,1051.7,0.0067,9.81,11,2.858,99,0.075,13.47,6.776,194.88,46,10892.7,8.909,336.43125,0,NA,NA,NA,NA
